Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,charades-generator.com,https://www.kidscharades.com/online-charades-generator.html,charadesideasgenerator.com,play.gameonfamily.com/charades/,getcharadesideas.com,charades-generator.com (pages),https://www.kidscharades.com/online-charades-generator.html (pages),charadesideasgenerator.com (pages),play.gameonfamily.com/charades/ (pages),getcharadesideas.com (pages),Results
random action,Commercial,110,9,0.00,0.33,0,0,5,0,53,,,https://charadesideasgenerator.com/actions-charades-generator/,,https://www.getcharadesideas.com/resources/charades-action-ideas/,99
rough list of ideas,Informational,110,19,0.00,0.33,0,0,0,0,4,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,675000000
salad bowl game word ideas,Informational,110,18,0.00,0.33,0,0,0,0,14,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,116
sarades,Informational,110,63,0.54,0.07,0,0,0,77,6,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,134
scharade,Informational,110,45,0.00,0.33,0,0,0,50,10,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,134
schrades,"Commercial, Informational",110,57,0.54,0.07,0,42,0,12,6,,https://www.kidscharades.com/online-charades-generator.html,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,131
songs for charades game,Informational,110,11,0.00,0.33,0,0,7,0,1,,,https://charadesideasgenerator.com/song-titles-for-charades/,,https://www.getcharadesideas.com/resources/charades-song-ideas/,100
stage play ideas,Informational,110,12,0.00,0.01,0,0,0,0,29,,,,,https://www.getcharadesideas.com/resources/charades-theatre-ideas/,127
thanksgiving charades cards,Informational,110,5,0.00,0.33,0,0,51,0,31,,,https://charadesideasgenerator.com/thanksgiving-charades-generator/,,https://www.getcharadesideas.com/resources/charades-thanksgiving-ideas/,171
thanksgiving day charades,Informational,110,6,0.00,0.13,0,0,49,0,14,,,https://charadesideasgenerator.com/thanksgiving-charades-generator/,,https://www.getcharadesideas.com/resources/charades-thanksgiving-ideas/,107
tv program ideas,Informational,110,16,0.00,0.00,0,0,0,0,18,,,,,https://www.getcharadesideas.com/resources/charades-tv-show-ideas-article/,541
words to do with weddings,Informational,110,11,0.00,0.01,0,0,33,0,0,,,https://charadesideasgenerator.com/wedding-charades-words-list/,,,184
act out games,Informational,90,33,0.47,0.47,0,0,0,0,50,,,,,https://www.getcharadesideas.com/resources/charades-action-ideas/,131
animals to act out,Informational,90,15,0.00,0.05,0,0,28,0,1,,,https://charadesideasgenerator.com/animal-charades-ideas/,,https://www.getcharadesideas.com/resources/charades-animal-ideas/,143
autumn charades,Informational,90,9,0.00,0.33,0,0,0,0,36,,,,,https://www.getcharadesideas.com/resources/charades-thanksgiving-ideas/,109
bachelorette charades,Informational,90,22,0.43,1.00,0,0,4,0,0,,,https://charadesideasgenerator.com/bachelorette-party-charades-ideas/,,,116
best charade words,"Commercial, Informational",90,40,0.03,0.17,0,0,0,0,8,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,105
best fishbowl words,Commercial,90,15,0.00,0.01,0,0,0,0,12,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,102
bible charades cards,Commercial,90,2,0.00,0.14,0,0,15,0,0,,,https://charadesideasgenerator.com/bible-charades-ideas/,,,183
bible charades for youth,Informational,90,14,0.00,0.25,0,0,3,0,0,,,https://charadesideasgenerator.com/bible-charades-ideas/,,,116
bible charades topics,Informational,90,5,0.00,0.72,0,0,1,0,0,,,https://charadesideasgenerator.com/bible-charades-ideas/,,,103
biblical charades ideas,Informational,90,5,0.00,0.72,0,0,1,0,0,,,https://charadesideasgenerator.com/bible-charades-ideas/,,,106
board game similar to charades,Informational,90,22,0.00,0.26,0,0,0,0,43,,,,,https://www.getcharadesideas.com/resources/family-charades-ideas-and-how-to-act-them-out/,109
board games similar to charades,Commercial,90,22,0.00,0.26,0,0,0,0,49,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,188
books for charades,Informational,90,9,0.00,0.07,0,0,2,0,1,,,https://charadesideasgenerator.com/book-charades-ideas/,,https://www.getcharadesideas.com/resources/charades-book-ideas/,162
carrades,Informational,90,58,0.00,0.33,0,38,0,51,6,,https://www.kidscharades.com/online-charades-generator.html,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,131
catch phrase dirty,Informational,90,23,0.00,0.01,0,0,0,0,36,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,63
catch phrase game word generator,Informational,90,8,0.00,0.33,0,0,0,54,15,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,88
celebrity charades,Informational,90,22,0.00,0.01,0,0,1,0,4,,,https://charadesideasgenerator.com/celebrity-charades-generator/,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,107
charade examples,Informational,90,30,0.02,0.19,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,137
charade game ideas,Informational,90,33,0.03,0.47,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,130
charade gane,"Commercial, Informational",90,61,0.45,0.10,0,0,0,46,13,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,190
charade list,Informational,90,31,0.03,0.11,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,107
charade pictures,Informational,90,18,0.42,0.88,0,0,2,0,17,,,https://charadesideasgenerator.com/picture-charades-generator/,,https://www.getcharadesideas.com/resources/charades-ideas-for-kids-of-all-ages-the-ultimate-list-130-ideas/,125
charade the game,Informational,90,48,0.32,0.22,0,0,0,0,66,,,,,https://www.getcharadesideas.com/how-to-play-charades/,185
charade things,Informational,90,38,0.02,0.64,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,201
charaders,Informational,90,57,0.45,0.10,0,28,0,61,5,,https://www.kidscharades.com/online-charades-generator.html,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,132
charades celebrities,Informational,90,18,0.00,0.33,0,0,1,0,2,,,https://charadesideasgenerator.com/celebrity-charades-generator/,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,135
charades costumes,Commercial,90,17,0.00,0.05,0,0,0,0,64,,,,,https://www.getcharadesideas.com/resources/charades-halloween-ideas/,187
charades easter,Informational,90,7,0.35,1.00,0,0,52,0,51,,,https://charadesideasgenerator.com/easter-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,103
charades famous person,Informational,90,12,0.00,0.33,0,0,2,0,1,,,https://charadesideasgenerator.com/celebrity-charades-generator/,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,133
charades for kids ideas,Informational,90,27,0.00,0.00,0,21,0,0,2,,https://www.kidscharades.com/online-charades-generator.html,,,https://www.getcharadesideas.com/resources/charades-ideas-for-kids-of-all-ages-the-ultimate-list-130-ideas/,191
charades for kids printable,Informational,90,6,0.00,0.00,0,0,0,0,22,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-kids-of-all-ages-the-ultimate-list-130-ideas/,108
charades for team building,Informational,90,11,0.00,0.33,0,0,0,0,48,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,133
charades for thanksgiving,Informational,90,5,0.00,0.13,0,0,38,0,10,,,https://charadesideasgenerator.com/thanksgiving-charades-generator/,,https://www.getcharadesideas.com/resources/charades-thanksgiving-ideas/,105
charades for youth group,Informational,90,0,0.00,0.52,0,0,1,0,12,,,https://charadesideasgenerator.com/youth-group-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,132
charades game ideas christmas,Informational,90,15,0.00,0.53,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,150
charades game ideas list,Informational,90,20,0.03,0.39,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,133
charades in a box,"Commercial, Informational",90,8,0.00,0.07,0,0,0,0,43,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,193
charades instructions,Informational,90,30,0.00,0.33,0,0,41,0,49,,,https://charadesideasgenerator.com/charades-rules/,,https://www.getcharadesideas.com/charades-rules/,104
charades play,Informational,90,49,0.00,0.01,0,0,0,0,20,,,,,https://www.getcharadesideas.com/,122
charades print,Commercial,90,6,0.00,0.53,0,0,0,0,9,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,163
charades printable cards,Informational,90,10,0.00,0.43,0,0,0,0,4,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,105
charades the game,Informational,90,54,0.50,0.31,0,0,0,0,18,,,,,https://www.getcharadesideas.com/,193
charades topics actions,Informational,90,9,0.03,0.26,0,0,8,0,5,,,https://charadesideasgenerator.com/actions-charades-generator/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,128
charades vocabulary,Informational,90,15,0.00,0.08,0,0,0,0,11,,,,,https://www.getcharadesideas.com/,128
charades with pictures,Informational,90,23,0.57,0.57,0,0,5,0,33,,,https://charadesideasgenerator.com/picture-charades-generator/,,https://www.getcharadesideas.com/resources/charades-ideas-for-kids-of-all-ages-the-ultimate-list-130-ideas/,177
charaids,Commercial,90,56,0.54,0.07,0,45,0,55,6,,https://www.kidscharades.com/online-charades-generator.html,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,135
charases,"Commercial, Informational",90,54,0.54,0.07,0,0,0,44,6,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,137
charrades,Informational,90,58,0.45,0.10,0,0,0,45,7,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,135
christmas charafes,"Commercial, Informational",90,14,0.00,0.42,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,133
christmas songs for charades,Informational,90,5,0.00,0.33,0,0,0,0,3,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,105
clues for charades game,Informational,90,36,0.03,0.22,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,135
dares for christmas,Informational,90,23,0.00,0.48,0,0,0,0,51,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,113
dirty catchphrase,Informational,90,22,0.00,0.02,0,0,0,0,27,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,101
dumb charades difficult movies,Informational,90,31,0.00,0.33,0,0,0,0,14,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,97
fall charades,Informational,90,11,0.00,0.33,0,0,0,0,40,,,,,https://www.getcharadesideas.com/resources/charades-thanksgiving-ideas/,111
family charades card game,Commercial,90,2,0.28,1.00,0,0,0,0,9,,,,,https://www.getcharadesideas.com/resources/family-charades-ideas-and-how-to-act-them-out/,207
famous people charades,Informational,90,15,0.00,0.33,0,0,2,0,1,,,https://charadesideasgenerator.com/celebrity-charades-generator/,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,112
famous people for charades,Informational,90,11,0.00,0.33,0,0,2,0,1,,,https://charadesideasgenerator.com/celebrity-charades-generator/,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,133
films for hangman,Informational,90,38,0.00,0.33,0,0,0,0,3,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,97
fishbowl game words funny,Informational,90,13,0.00,0.33,0,0,0,0,23,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,100
fishbowl game words ideas,Informational,90,12,0.00,0.33,0,0,0,0,22,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,100
freaky ideas,Informational,90,21,0.01,0.03,0,0,0,0,39,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,173
fun charades,Informational,90,43,0.03,0.15,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,138
funny christmas charades words,Informational,90,6,0.00,0.00,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,103
funny debate topics for adults dirty,Informational,90,5,0.00,0.33,0,0,0,0,67,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,127
funny fishbowl words,Informational,90,15,0.00,0.05,0,0,0,0,9,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,103
good charades game,Informational,90,38,0.03,0.15,0,0,0,59,2,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,179
good fishbowl words,Informational,90,8,0.00,0.33,0,0,0,0,11,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,108
group charades,Informational,90,22,0.24,0.21,0,0,0,0,12,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,133
guess the famous person game,Informational,90,10,0.00,0.01,0,0,0,0,46,,,,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,163
guessup - word party charades & family game,Informational,90,33,0.00,0.33,0,0,0,0,59,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,158
halloween categories,Informational,90,22,0.00,0.33,0,0,0,0,13,,,,,https://www.getcharadesideas.com/resources/charades-halloween-ideas/,137
halloween charades printable,Informational,90,7,0.00,0.00,0,0,0,0,33,,,,,https://www.getcharadesideas.com/resources/charades-halloween-ideas/,160
halloween charades words,Informational,90,9,0.00,0.04,0,0,0,0,4,,,,,https://www.getcharadesideas.com/resources/charades-halloween-ideas/,106
how to play charades game,Informational,90,48,0.00,0.07,0,0,93,0,82,,,https://charadesideasgenerator.com/charades-rules/,,https://www.getcharadesideas.com/charades-rules/,123
list of charades ideas funny,Informational,90,23,0.00,0.43,0,0,30,0,5,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/funny-charades-ideas-and-how-to-act-them-out/,129
list of things for charades,Informational,90,32,0.03,0.39,0,0,55,0,2,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,120
mime words,Informational,90,37,0.00,0.33,0,0,0,0,26,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,120
movies hard to guess,Informational,90,45,0.00,0.33,0,0,0,0,6,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,113
music charades,Informational,90,11,0.00,0.01,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/charades-song-ideas/,108
naughty charades,Informational,90,3,0.00,0.86,0,0,0,0,3,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,105
pictionary words dirty,Informational,90,21,0.00,0.01,0,0,0,0,20,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,104
print out charades,Informational,90,13,0.00,0.53,0,0,0,0,15,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,100
printable christmas charades game,Informational,90,4,0.56,0.94,0,0,0,0,21,,,,,https://www.getcharadesideas.com/christmas-charades-ideas/,103
sharade words,Informational,90,50,0.03,0.22,0,0,0,18,9,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,127
sharaids game,"Commercial, Informational",90,47,0.45,0.10,0,0,0,0,18,,,,,https://www.getcharadesideas.com/,198
song charades,Informational,90,21,0.00,0.33,0,0,6,0,1,,,https://charadesideasgenerator.com/song-titles-for-charades/,,https://www.getcharadesideas.com/resources/charades-song-ideas/,133
summer charades,Informational,90,13,0.00,0.41,0,0,0,0,33,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-kids-of-all-ages-the-ultimate-list-130-ideas/,109
television show ideas,Informational,90,16,0.00,0.00,0,0,0,0,20,,,,,https://www.getcharadesideas.com/resources/charades-tv-show-ideas-article/,2240
thanksgiving themed charades,Commercial,90,11,0.00,0.00,0,0,38,0,7,,,https://charadesideasgenerator.com/thanksgiving-charades-generator/,,https://www.getcharadesideas.com/resources/charades-thanksgiving-ideas/,162
things to be in charades,Informational,90,23,0.03,0.27,0,0,21,0,5,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,146
things to say in reverse,Informational,90,22,0.00,0.33,0,0,36,0,0,,,https://charadesideasgenerator.com/reverse-charades-ideas/,,,135
vocabulary charades,Informational,90,11,0.00,0.11,0,60,0,65,29,,https://www.kidscharades.com/online-charades-generator.html,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,122
wedding charades,Commercial,90,13,0.49,0.96,0,0,3,0,0,,,https://charadesideasgenerator.com/wedding-charades-words-list/,,,152
wedding pictionary words,Informational,90,5,0.00,1.00,0,0,39,0,0,,,https://charadesideasgenerator.com/wedding-charades-words-list/,,,115
what's charades,Informational,90,50,0.00,0.33,0,0,0,0,11,,,,,https://www.getcharadesideas.com/,7650
winter charades game,"Commercial, Informational",90,1,0.00,0.83,0,0,0,0,12,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,174
xmas charades ideas,Informational,90,7,0.30,1.00,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,109
youth group charades,Informational,90,0,0.00,0.52,0,0,1,0,14,,,https://charadesideasgenerator.com/youth-group-charades-ideas/,,https://www.getcharadesideas.com/resources/charades-ideas-for-kids-of-all-ages-the-ultimate-list-130-ideas/,130
act it out charades,Informational,70,43,0.09,0.04,0,0,0,0,10,,,,,https://www.getcharadesideas.com/resources/funny-charades-ideas-and-how-to-act-them-out/,130
act it out ideas,Informational,70,32,0.00,0.05,0,0,12,0,3,,,https://charadesideasgenerator.com/actions-charades-generator/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,121
action phrases for charades,Informational,70,27,0.02,0.22,0,0,6,0,1,,,https://charadesideasgenerator.com/actions-charades-generator/,,https://www.getcharadesideas.com/resources/charades-action-ideas/,123
adult charades card game,Commercial,70,16,0.36,0.98,0,0,0,0,9,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,189
adult scattergories list,"Commercial, Informational",70,29,0.00,0.91,0,0,0,0,39,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,170
animal charades cards,"Commercial, Informational",70,7,0.00,0.13,0,0,0,0,14,,,,,https://www.getcharadesideas.com/resources/charades-animal-ideas/,167
animal pictionary,Informational,70,12,0.00,0.07,0,0,0,0,30,,,,,https://www.getcharadesideas.com/resources/charades-animal-ideas/,187
bachelorette party charades,"Commercial, Informational",70,21,0.00,1.00,0,0,6,0,0,,,https://charadesideasgenerator.com/bachelorette-party-charades-ideas/,,,181
best charades game,Commercial,70,35,0.34,0.99,0,0,0,0,39,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,153
best ideas for charades,Commercial,70,44,0.03,0.16,0,0,37,0,1,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,132
black charades,Informational,70,33,0.52,0.35,0,0,13,0,45,,,https://charadesideasgenerator.com/black-charades-ideas/,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,186
bridal shower charades game,Commercial,70,14,0.39,1.00,0,0,7,0,0,,,https://charadesideasgenerator.com/wedding-charades-words-list/,,,192
camp charades,Informational,70,9,0.00,0.92,0,0,0,0,51,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,111
camping dare,Informational,70,6,0.00,0.33,0,0,34,0,0,,,https://charadesideasgenerator.com/camping-charades-ideas/,,,93100000
category charades,Informational,70,27,0.02,0.07,0,0,5,29,1,,,https://charadesideasgenerator.com/charades-categories/,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,136
celebrities for charades,Informational,70,5,0.00,0.33,0,0,2,0,1,,,https://charadesideasgenerator.com/celebrity-charades-generator/,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,133
celebrity heads game,"Commercial, Informational",70,11,0.48,0.07,0,0,0,0,27,,,,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,179
charade game questions,Informational,70,40,0.04,0.10,0,0,0,0,7,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,136
charade games,Informational,70,50,0.45,0.10,0,0,0,44,19,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,194
charade idea,Informational,70,43,0.03,0.31,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,135
charade phrases,Informational,70,28,0.03,0.16,0,0,0,0,3,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,125
charade synonyms,Informational,70,20,0.00,0.33,0,0,0,0,59,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,108
charade topic,Informational,70,35,0.02,0.17,0,0,0,0,3,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,127
charades action words,Informational,70,10,0.02,0.22,0,0,4,0,1,,,https://charadesideasgenerator.com/actions-charades-generator/,,https://www.getcharadesideas.com/resources/charades-action-ideas/,122
charades bachelorette party,Commercial,70,20,0.46,1.00,0,0,2,0,0,,,https://charadesideasgenerator.com/bachelorette-party-charades-ideas/,,,178
charades bridal shower game,"Commercial, Informational",70,14,0.39,1.00,0,0,6,0,0,,,https://charadesideasgenerator.com/wedding-charades-words-list/,,,201
charades cards for kids,Commercial,70,15,0.00,0.00,0,49,0,0,9,,https://www.kidscharades.com/online-charades-generator.html,,,https://www.getcharadesideas.com/resources/charades-ideas-for-kids-of-all-ages-the-ultimate-list-130-ideas/,189
charades clues list,Informational,70,25,0.03,0.39,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,116
charades example,Informational,70,50,0.02,0.19,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,137
charades for bachelorette party,"Commercial, Informational",70,15,0.46,1.00,0,0,2,0,15,,,https://charadesideasgenerator.com/bachelorette-party-charades-ideas/,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,168
charades for halloween,Commercial,70,4,0.00,0.41,0,0,0,0,5,,,,,https://www.getcharadesideas.com/resources/charades-halloween-ideas/,163
charades for large groups,Informational,70,11,0.00,0.14,0,0,0,0,8,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,130
charades game for bridal shower,Informational,70,19,0.44,1.00,0,0,5,0,0,,,https://charadesideasgenerator.com/bridal-shower-charades-ideas/,,,138
charades game instructions,Informational,70,17,0.00,0.02,0,0,53,0,31,,,https://charadesideasgenerator.com/charades-rules/,,https://www.getcharadesideas.com/how-to-play-charades/,98
charades generator app,Informational,70,50,0.65,0.16,0,23,0,37,6,,https://www.kidscharades.com/online-charades-generator.html,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,140
charades ideas actions,Informational,70,11,0.03,0.26,0,0,3,0,6,,,https://charadesideasgenerator.com/actions-charades-generator/,,https://www.getcharadesideas.com/resources/charades-action-ideas/,138
charades images,Informational,70,21,0.00,0.05,0,0,6,0,13,,,https://charadesideasgenerator.com/picture-charades-generator/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,114
charades kids,Informational,70,21,0.00,0.00,0,1,0,0,5,,https://www.kidscharades.com/online-charades-generator.html,,,https://www.getcharadesideas.com/resources/charades-ideas-for-kids-of-all-ages-the-ultimate-list-130-ideas/,190
charades names,Informational,70,24,0.03,0.38,0,0,0,49,1,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,126
charades printable list,Informational,70,22,0.00,0.02,0,0,0,0,3,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,108
charades printables,Informational,70,5,0.00,0.83,0,0,0,0,4,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,108
charades questions,Informational,70,43,0.00,0.15,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,134
charades suggestions list,Informational,70,24,0.03,0.39,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,110
charades thanksgiving,Informational,70,11,0.00,0.13,0,0,38,0,13,,,https://charadesideasgenerator.com/thanksgiving-charades-generator/,,https://www.getcharadesideas.com/resources/charades-thanksgiving-ideas/,106
charades theme,Informational,70,40,0.00,0.09,0,32,4,0,3,,https://www.kidscharades.com/online-charades-generator.html,https://charadesideasgenerator.com/charades-themes/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,139
charades type games,Informational,70,23,0.00,1.00,0,0,0,0,37,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,128
charages,Informational,70,62,0.54,0.07,0,39,0,48,6,,https://www.kidscharades.com/online-charades-generator.html,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,133
christmas charades list pdf,Informational,70,4,0.00,0.33,0,0,0,0,16,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,106
christmas codes,Informational,70,12,0.00,0.33,0,0,0,0,55,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,105
christmas ideas for charades,Informational,70,15,0.30,1.00,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,114
christmas pictionary topics,Informational,70,14,0.00,0.33,0,0,0,0,47,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,166
christmas words for hangman,Informational,70,18,0.00,0.33,0,0,0,0,44,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,105
dares for a bachelorette party,Informational,70,17,0.19,1.00,0,0,63,0,0,,,https://charadesideasgenerator.com/bachelorette-party-charades-ideas/,,,139
death charades,Informational,70,14,0.00,0.23,0,0,0,0,35,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,135
difficult christmas words,Informational,70,27,0.00,0.33,0,0,0,0,45,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,123
difficult film names,Informational,70,33,0.00,0.33,0,0,0,0,14,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,116
difficult movie names,Informational,70,26,0.00,0.33,0,0,0,0,16,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,114
difficult movies for dumb charades english,Informational,70,23,0.00,0.33,0,0,0,0,7,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,76
